q(1/A)	I (1/cm)
2.54E-03	 1.2329534E+01
2.81E-03	 9.4569281E+00
3.08E-03	 7.1764595E+00
3.35E-03	 5.7957627E+00
3.62E-03	 4.7684934E+00
3.89E-03	 4.1430318E+00
4.16E-03	 3.5658354E+00
4.43E-03	 3.1780303E+00
4.70E-03	 2.7889725E+00
4.97E-03	 2.5335626E+00
5.24E-03	 2.2793085E+00
5.51E-03	 2.0424887E+00
5.78E-03	 1.8913091E+00
6.05E-03	 1.7534485E+00
6.31E-03	 1.6189561E+00
6.58E-03	 1.5049853E+00
6.85E-03	 1.4171849E+00
7.12E-03	 1.3065996E+00
7.39E-03	 1.2339819E+00
7.66E-03	 1.1607706E+00
7.93E-03	 1.0948515E+00
8.20E-03	 1.0161849E+00
8.47E-03	 9.7851513E-01
8.74E-03	 9.3334804E-01
9.01E-03	 8.8324055E-01
9.28E-03	 8.4408547E-01
9.55E-03	 8.1402101E-01
9.82E-03	 7.7565856E-01
1.01E-02	 7.3179309E-01
1.04E-02	 7.0429612E-01
1.06E-02	 6.7638454E-01
1.09E-02	 6.5529242E-01
1.12E-02	 6.3242936E-01
1.14E-02	 6.1438394E-01
1.17E-02	 5.8508864E-01
1.20E-02	 5.6088670E-01
1.22E-02	 5.4408045E-01
1.25E-02	 5.2825384E-01
1.28E-02	 5.0606892E-01
1.31E-02	 4.9094501E-01
1.33E-02	 4.7612114E-01
1.36E-02	 4.6088172E-01
1.39E-02	 4.5061544E-01
1.41E-02	 4.3752080E-01
1.44E-02	 4.2273265E-01
1.47E-02	 4.1197975E-01
1.49E-02	 3.9891485E-01
1.52E-02	 3.8582369E-01
1.55E-02	 3.8014798E-01
1.58E-02	 3.7705744E-01
1.60E-02	 3.6733136E-01
1.63E-02	 3.5408952E-01
1.66E-02	 3.5274414E-01
1.68E-02	 3.4316677E-01
1.71E-02	 3.2978110E-01
1.74E-02	 3.2168966E-01
1.76E-02	 3.1876156E-01
1.79E-02	 3.1257976E-01
1.82E-02	 3.0675157E-01
1.84E-02	 2.9883633E-01
1.87E-02	 2.9720428E-01
1.90E-02	 2.9339866E-01
1.93E-02	 2.8736991E-01
1.95E-02	 2.7735650E-01
1.98E-02	 2.7406865E-01
2.01E-02	 2.6658895E-01
2.03E-02	 2.6818340E-01
2.06E-02	 2.5967654E-01
2.09E-02	 2.5134407E-01
2.11E-02	 2.5244798E-01
2.14E-02	 2.5089434E-01
2.17E-02	 2.4455120E-01
2.20E-02	 2.4393878E-01
2.22E-02	 2.3840107E-01
2.25E-02	 2.3526771E-01
2.28E-02	 2.3197348E-01
2.30E-02	 2.2583285E-01
2.33E-02	 2.2483077E-01
2.36E-02	 2.2316955E-01
2.38E-02	 2.2233409E-01
2.41E-02	 2.1603767E-01
2.44E-02	 2.1150401E-01
2.46E-02	 2.1136793E-01
2.49E-02	 2.0788797E-01
2.52E-02	 2.0475489E-01
2.55E-02	 2.0396703E-01
2.57E-02	 2.0221491E-01
2.60E-02	 2.0032642E-01
2.63E-02	 1.9594598E-01
2.65E-02	 1.9382550E-01
2.68E-02	 1.9323803E-01
2.71E-02	 1.9348998E-01
2.73E-02	 1.9047771E-01
2.76E-02	 1.8741862E-01
2.79E-02	 1.8649414E-01
2.82E-02	 1.8683866E-01
2.84E-02	 1.8515151E-01
2.87E-02	 1.7944716E-01
2.90E-02	 1.7819352E-01
2.92E-02	 1.7737528E-01
2.95E-02	 1.7712230E-01
2.98E-02	 1.7549075E-01
3.00E-02	 1.7345871E-01
3.03E-02	 1.7357381E-01
3.06E-02	 1.7035601E-01
3.08E-02	 1.6909263E-01
3.11E-02	 1.6863035E-01
3.14E-02	 1.6670060E-01
3.17E-02	 1.6490657E-01
3.19E-02	 1.6392671E-01
3.22E-02	 1.6450737E-01
3.25E-02	 1.6384808E-01
3.27E-02	 1.5985654E-01
3.30E-02	 1.5990583E-01
3.33E-02	 1.5873407E-01
3.35E-02	 1.5792627E-01
3.38E-02	 1.5557885E-01
3.41E-02	 1.5697478E-01
3.44E-02	 1.5596526E-01
3.46E-02	 1.5288807E-01
3.49E-02	 1.5123562E-01
3.52E-02	 1.4893610E-01
3.54E-02	 1.4920192E-01
3.57E-02	 1.4930504E-01
3.60E-02	 1.4952242E-01
3.62E-02	 1.4920936E-01
3.65E-02	 1.4588998E-01
3.68E-02	 1.4532498E-01
3.70E-02	 1.4446301E-01
3.73E-02	 1.4546673E-01
3.76E-02	 1.4312843E-01
3.79E-02	 1.4231357E-01
3.81E-02	 1.4177483E-01
3.84E-02	 1.4092533E-01
3.87E-02	 1.4081412E-01
3.89E-02	 1.3897919E-01
3.92E-02	 1.3890749E-01
3.95E-02	 1.3806759E-01
3.97E-02	 1.3774569E-01
4.00E-02	 1.3775253E-01
4.03E-02	 1.3645541E-01
4.06E-02	 1.3503642E-01
4.08E-02	 1.3559145E-01
4.11E-02	 1.3405951E-01
4.14E-02	 1.3381573E-01
4.16E-02	 1.3432802E-01
4.19E-02	 1.3483053E-01
4.22E-02	 1.3295342E-01
4.24E-02	 1.3154611E-01
4.27E-02	 1.2939775E-01
4.30E-02	 1.2942161E-01
4.32E-02	 1.3061509E-01
4.35E-02	 1.2991151E-01
4.38E-02	 1.2953037E-01
4.41E-02	 1.2775300E-01
4.43E-02	 1.2757471E-01
4.46E-02	 1.2730405E-01
4.49E-02	 1.2749234E-01
4.51E-02	 1.2784655E-01
4.54E-02	 1.2768695E-01
4.57E-02	 1.2683047E-01
4.59E-02	 1.2631460E-01
4.62E-02	 1.2531930E-01
4.65E-02	 1.2555830E-01
4.68E-02	 1.2395774E-01
4.70E-02	 1.2290016E-01
4.73E-02	 1.2391617E-01
4.76E-02	 1.2199216E-01
4.78E-02	 1.2079123E-01
4.81E-02	 1.2214882E-01
4.84E-02	 1.2186406E-01
4.86E-02	 1.2098874E-01
4.89E-02	 1.2017177E-01
4.92E-02	 1.2077955E-01
4.94E-02	 1.2014065E-01
4.97E-02	 1.1963112E-01
5.00E-02	 1.1976552E-01
5.03E-02	 1.1968283E-01
5.05E-02	 1.2024514E-01
5.08E-02	 1.1941054E-01
5.11E-02	 1.1805540E-01
5.13E-02	 1.1807629E-01
5.16E-02	 1.1798043E-01
5.19E-02	 1.1841019E-01
5.21E-02	 1.1665196E-01
5.24E-02	 1.1596003E-01
5.27E-02	 1.1533554E-01
5.30E-02	 1.1574113E-01
5.32E-02	 1.1710963E-01
5.35E-02	 1.1552473E-01
5.38E-02	 1.1541659E-01
5.40E-02	 1.1548700E-01
5.43E-02	 1.1543526E-01
5.46E-02	 1.1475124E-01
5.48E-02	 1.1250098E-01
5.51E-02	 1.1208707E-01
5.54E-02	 1.1332816E-01
5.57E-02	 1.1337555E-01
5.59E-02	 1.1200006E-01
5.62E-02	 1.1169939E-01
5.65E-02	 1.1294547E-01
5.67E-02	 1.1215546E-01
5.70E-02	 1.1200183E-01
5.73E-02	 1.1079158E-01
5.75E-02	 1.0982506E-01
5.78E-02	 1.0982347E-01
5.81E-02	 1.0953167E-01
5.83E-02	 1.0959035E-01
5.86E-02	 1.0886417E-01
5.89E-02	 1.0941537E-01
5.92E-02	 1.0878465E-01
5.94E-02	 1.0896525E-01
5.97E-02	 1.0917422E-01
6.00E-02	 1.0811805E-01
6.02E-02	 1.0782130E-01
6.05E-02	 1.0788567E-01
6.08E-02	 1.0708091E-01
6.10E-02	 1.0532788E-01
6.13E-02	 1.0587400E-01
6.16E-02	 1.0684675E-01
6.19E-02	 1.0596043E-01
6.21E-02	 1.0458513E-01
6.24E-02	 1.0503978E-01
6.27E-02	 1.0469602E-01
6.29E-02	 1.0497811E-01
6.32E-02	 1.0413420E-01
6.35E-02	 1.0412895E-01
6.37E-02	 1.0345542E-01
6.40E-02	 1.0356349E-01
6.43E-02	 1.0273318E-01
6.45E-02	 1.0294274E-01
6.48E-02	 1.0363563E-01
6.51E-02	 1.0293839E-01
6.54E-02	 1.0413549E-01
6.56E-02	 1.0243036E-01
6.59E-02	 1.0249214E-01
6.62E-02	 1.0375714E-01
6.64E-02	 1.0249572E-01
6.67E-02	 1.0265109E-01
6.70E-02	 1.0183154E-01
6.72E-02	 1.0168172E-01
6.75E-02	 1.0133110E-01
6.78E-02	 1.0062658E-01
6.81E-02	 1.0065010E-01
6.83E-02	 1.0262600E-01
6.86E-02	 1.0181248E-01
6.89E-02	 1.0120481E-01
6.91E-02	 1.0078485E-01
6.94E-02	 1.0140855E-01
6.97E-02	 1.0076446E-01
6.99E-02	 1.0099535E-01
7.02E-02	 1.0068091E-01
7.05E-02	 1.0055121E-01
7.07E-02	 9.9463573E-02
7.10E-02	 9.8870498E-02
7.13E-02	 9.8890597E-02
7.16E-02	 9.9255554E-02
7.18E-02	 9.9611916E-02
7.21E-02	 1.0000342E-01
7.24E-02	 9.8974757E-02
7.26E-02	 9.8246170E-02
7.29E-02	 9.8227646E-02
7.32E-02	 9.8423153E-02
7.34E-02	 9.6588187E-02
7.37E-02	 9.6867409E-02
7.40E-02	 9.7104058E-02
7.43E-02	 9.6783149E-02
7.45E-02	 9.7846185E-02
7.48E-02	 9.7714694E-02
7.51E-02	 9.6742245E-02
7.53E-02	 9.6703591E-02
7.56E-02	 9.6957735E-02
7.59E-02	 9.8833301E-02
7.61E-02	 9.8010383E-02
7.64E-02	 9.6539196E-02
7.67E-02	 9.6377056E-02
7.69E-02	 9.6865942E-02
7.72E-02	 9.6675131E-02
7.75E-02	 9.6379797E-02
7.78E-02	 9.3679621E-02
7.80E-02	 9.3411015E-02
7.83E-02	 9.4005175E-02
7.86E-02	 9.4462070E-02
7.88E-02	 9.4942049E-02
7.91E-02	 9.3946356E-02
7.94E-02	 9.3961025E-02
7.96E-02	 9.4856159E-02
7.99E-02	 9.5216226E-02
8.02E-02	 9.4151523E-02
8.05E-02	 9.3617046E-02
8.07E-02	 9.4125997E-02
8.10E-02	 9.3576574E-02
8.13E-02	 9.4286906E-02
8.15E-02	 9.3868551E-02
8.18E-02	 9.3425096E-02
8.21E-02	 9.3649771E-02
8.23E-02	 9.3819332E-02
8.26E-02	 9.4328224E-02
8.29E-02	 9.2786714E-02
8.31E-02	 9.2544028E-02
8.34E-02	 9.2941693E-02
8.37E-02	 9.2951992E-02
8.40E-02	 9.2808337E-02
8.42E-02	 9.1790155E-02
8.45E-02	 9.1878112E-02
8.48E-02	 9.1159834E-02
8.50E-02	 9.1464128E-02
8.53E-02	 9.1885317E-02
8.56E-02	 9.1606443E-02
8.58E-02	 9.1728899E-02
8.61E-02	 9.2364231E-02
8.64E-02	 9.5387490E-02
8.67E-02	 9.2878827E-02
8.69E-02	 9.0781051E-02
8.72E-02	 9.1009416E-02
8.75E-02	 9.2339299E-02
8.77E-02	 9.0721649E-02
8.80E-02	 9.1109723E-02
8.83E-02	 9.1701759E-02
8.85E-02	 9.1811813E-02
8.88E-02	 9.1066437E-02
8.91E-02	 9.2552035E-02
8.93E-02	 9.2321022E-02
8.96E-02	 9.0298464E-02
8.99E-02	 9.0949028E-02
9.02E-02	 9.1218273E-02
9.04E-02	 9.1379011E-02
9.07E-02	 9.0565625E-02
9.10E-02	 9.1202321E-02
9.12E-02	 9.0509606E-02
9.15E-02	 9.1568484E-02
9.18E-02	 9.0480352E-02
9.20E-02	 9.0281546E-02
9.23E-02	 8.9059230E-02
9.26E-02	 8.9254153E-02
9.29E-02	 8.9412607E-02
9.31E-02	 8.9832548E-02
9.34E-02	 9.0912372E-02
9.37E-02	 9.0740051E-02
9.39E-02	 9.0581415E-02
9.42E-02	 8.9778347E-02
9.45E-02	 8.9549308E-02
9.47E-02	 8.9773217E-02
9.50E-02	 8.8302647E-02
9.53E-02	 8.8182778E-02
9.55E-02	 8.9862327E-02
9.58E-02	 8.9262087E-02
9.61E-02	 8.9079206E-02
9.64E-02	 8.8609295E-02
9.66E-02	 8.9467926E-02
9.69E-02	 8.9895007E-02
9.72E-02	 8.9149531E-02
9.74E-02	 8.8162335E-02
9.77E-02	 8.8225077E-02
9.80E-02	 8.8765955E-02
9.82E-02	 8.9141328E-02
9.85E-02	 8.9122347E-02
9.88E-02	 8.8575504E-02
9.91E-02	 8.8774869E-02
9.93E-02	 9.1112383E-02
9.96E-02	 9.3733024E-02
9.99E-02	 9.7478336E-02
1.00E-01	 9.9406032E-02
1.00E-01	 9.6084058E-02
1.01E-01	 9.1097752E-02
1.01E-01	 8.8002860E-02
1.01E-01	 8.8014449E-02
1.01E-01	 8.8460264E-02
1.02E-01	 9.1546459E-02
1.02E-01	 9.0517785E-02
1.02E-01	 8.8164726E-02
1.03E-01	 8.7746936E-02
1.03E-01	 8.9448033E-02
1.03E-01	 8.7655334E-02
1.03E-01	 8.7388752E-02
1.04E-01	 8.7898660E-02
1.04E-01	 8.7597706E-02
